h,s,v,value
12,48,209,1
12,48,209,1
12,48,206,1
12,49,202,1
12,49,201,1
12,49,203,1
12,48,206,1
12,48,206,1
12,48,206,1
12,48,207,1
12,48,208,1
12,48,209,1
12,48,209,1
12,48,208,1
12,48,207,1
11,46,207,1
11,46,207,1
11,46,207,1
11,45,209,1
11,45,211,1
11,45,211,1
11,45,209,1
11,46,207,1
11,46,205,1
11,46,207,1
11,45,209,1
11,45,210,1
11,45,210,1
11,45,208,1
11,46,207,1
11,46,206,1
10,45,206,1
10,44,209,1
10,43,212,1
10,43,214,1
10,43,212,1
10,44,210,1
10,44,208,1
10,44,207,1
10,44,209,1
10,44,210,1
10,44,210,1
10,44,210,1
10,44,210,1
10,44,209,1
10,44,208,1
10,44,207,1
10,44,207,1
10,45,205,1
10,45,205,1
10,44,207,1
10,44,210,1
10,43,212,1
10,44,211,1
10,44,209,1
10,43,213,1
10,43,212,1
10,44,210,1
10,44,209,1
10,44,210,1
10,43,212,1
10,43,212,1
10,44,209,1
9,48,211,1
10,47,210,1
9,46,211,1
9,41,210,1
9,41,210,1
9,42,208,1
9,41,209,1
10,44,210,1
9,45,213,1
9,45,214,1
9,45,215,1
10,43,212,1
10,40,211,1
9,35,209,1
7,31,208,1
8,25,203,1
9,24,204,1
5,21,211,1
14,23,208,1
14,24,202,1
12,28,198,1
13,32,197,1
12,38,200,1
13,42,200,1
12,45,202,1
12,45,202,1
14,46,201,1
14,45,202,1
14,45,202,1
14,45,202,1
12,45,204,1
12,45,204,1
10,45,206,1
10,45,206,1
11,45,208,1
12,48,209,1
12,48,209,1
12,48,207,1
12,49,204,1
12,49,203,1
12,49,205,1
12,48,207,1
12,48,206,1
12,48,207,1
12,48,207,1
12,48,208,1
12,48,209,1
12,48,209,1
12,48,208,1
12,48,207,1
11,46,206,1
11,46,206,1
11,46,206,1
11,46,207,1
11,45,210,1
11,45,210,1
11,45,209,1
11,46,207,1
11,46,205,1
11,46,207,1
11,45,209,1
11,45,210,1
11,45,210,1
11,45,209,1
11,45,208,1
11,46,207,1
10,45,206,1
10,44,208,1
10,44,210,1
10,44,211,1
10,44,211,1
10,44,211,1
10,44,210,1
10,44,210,1
10,44,211,1
10,43,212,1
10,44,211,1
10,44,211,1
10,44,210,1
10,44,209,1
10,44,209,1
10,44,210,1
10,44,211,1
10,44,210,1
10,44,209,1
10,44,210,1
10,43,212,1
10,43,213,1
10,44,211,1
10,44,210,1
10,43,212,1
10,43,212,1
10,44,211,1
10,44,210,1
10,44,211,1
10,43,213,1
10,43,212,1
10,44,209,1
9,48,211,1
9,46,210,1
7,44,211,1
9,41,210,1
7,39,210,1
7,39,208,1
9,42,208,1
9,41,210,1
9,45,213,1
9,45,215,1
9,45,215,1
9,41,212,1
7,38,212,1
8,33,209,1
7,31,207,1
8,25,202,1
5,21,205,1
5,20,213,1
13,20,206,1
15,23,200,1
12,28,197,1
13,32,197,1
12,38,200,1
13,41,199,1
13,43,200,1
13,43,200,1
14,46,201,1
14,45,202,1
15,42,201,1
15,42,201,1
13,42,202,1
13,42,202,1
10,41,205,1
10,45,206,1
11,45,208,1
11,50,210,1
11,50,210,1
11,50,210,1
11,50,209,1
11,50,208,1
11,50,209,1
11,50,210,1
11,50,209,1
11,50,209,1
11,50,209,1
11,50,210,1
11,50,211,1
11,50,211,1
11,50,211,1
11,50,210,1
11,46,205,1
11,46,205,1
11,46,204,1
11,46,206,1
11,45,208,1
11,45,209,1
11,45,208,1
11,46,207,1
11,46,205,1
11,46,207,1
11,45,209,1
11,45,211,1
11,45,211,1
11,45,210,1
11,45,209,1
11,45,209,1
11,43,206,1
11,43,206,1
11,43,206,1
11,43,208,1
11,43,209,1
11,42,211,1
11,42,212,1
11,42,212,1
11,42,212,1
11,42,213,1
11,42,212,1
11,43,210,1
11,43,208,1
11,43,207,1
11,43,209,1
11,42,212,1
10,43,213,1
10,43,213,1
10,43,213,1
10,43,212,1
10,43,212,1
10,44,211,1
10,44,210,1
10,44,210,1
10,43,212,1
10,43,212,1
10,43,212,1
10,44,211,1
10,43,212,1
10,43,214,1
10,43,212,1
10,44,210,1
8,47,210,1
9,46,209,1
7,44,210,1
9,41,210,1
8,38,209,1
8,38,207,1
7,39,208,1
9,41,210,1
9,46,212,1
9,45,214,1
7,43,215,1
9,41,212,1
7,39,211,1
8,33,208,1
7,31,206,1
8,25,201,1
5,21,206,1
8,18,211,1
16,19,205,1
15,23,200,1
15,26,195,1
13,32,197,1
13,37,199,1
13,41,200,1
13,43,200,1
14,46,200,1
14,45,202,1
14,45,202,1
14,45,203,1
15,42,202,1
13,43,202,1
13,42,202,1
10,41,205,1
10,45,206,1
11,45,209,1
11,50,210,1
11,50,210,1
11,50,210,1
11,50,210,1
11,50,210,1
11,50,209,1
11,50,209,1
11,50,209,1
11,50,209,1
11,50,209,1
11,50,209,1
11,50,210,1
11,50,211,1
11,50,211,1
11,50,210,1
11,46,205,1
11,46,204,1
11,46,203,1
11,46,204,1
11,46,206,1
11,46,207,1
11,45,208,1
11,45,208,1
11,46,206,1
11,45,208,1
11,45,210,1
11,45,212,1
11,45,212,1
11,45,211,1
11,45,211,1
11,45,211,1
11,43,207,1
11,43,206,1
11,44,205,1
11,43,207,1
11,43,209,1
11,42,211,1
11,42,211,1
11,42,211,1
11,42,212,1
11,42,213,1
11,42,213,1
11,43,210,1
11,43,207,1
11,43,206,1
11,43,208,1
11,42,211,1
10,43,212,1
10,43,213,1
10,43,213,1
10,43,212,1
10,44,210,1
10,44,208,1
10,44,208,1
10,44,209,1
10,44,211,1
10,43,213,1
10,43,213,1
10,43,213,1
10,43,214,1
10,43,215,1
10,43,213,1
10,44,210,1
9,46,209,1
9,46,209,1
9,42,208,1
9,41,210,1
8,38,209,1
8,38,208,1
7,39,209,1
9,41,211,1
9,46,212,1
9,45,214,1
7,43,214,1
9,41,211,1
8,38,209,1
8,33,208,1
7,31,205,1
8,25,200,1
5,21,205,1
8,18,211,1
18,21,205,1
15,23,200,1
15,26,195,1
13,33,196,1
12,38,200,1
13,42,201,1
12,45,203,1
13,48,203,1
13,48,204,1
16,48,203,1
16,48,203,1
14,45,203,1
12,45,205,1
12,45,204,1
10,45,206,1
10,45,206,1
11,45,209,1
11,45,208,1
11,46,207,1
11,46,207,1
11,45,208,1
11,45,208,1
11,46,207,1
11,46,206,1
11,46,207,1
11,46,207,1
11,46,206,1
11,46,207,1
11,45,208,1
11,45,208,1
11,45,208,1
11,46,207,1
11,46,204,1
11,46,204,1
11,46,203,1
11,46,204,1
11,46,205,1
11,46,206,1
11,46,207,1
11,45,208,1
11,45,208,1
11,45,209,1
11,45,211,1
11,44,213,1
11,44,213,1
11,45,212,1
11,45,212,1
11,45,212,1
10,44,210,1
10,44,209,1
10,44,208,1
10,44,208,1
10,44,210,1
10,44,211,1
10,44,210,1
10,44,209,1
10,44,211,1
10,43,212,1
10,43,213,1
10,44,211,1
10,44,207,1
10,45,206,1
10,44,207,1
10,44,209,1
10,44,210,1
10,44,211,1
10,43,212,1
10,44,211,1
10,44,209,1
10,44,207,1
10,44,207,1
10,44,208,1
10,44,211,1
10,43,213,1
10,43,214,1
10,43,214,1
10,43,214,1
10,43,215,1
10,43,214,1
10,44,211,1
10,48,209,1
10,48,209,1
10,44,209,1
10,44,211,1
10,40,210,1
10,40,209,1
10,40,209,1
9,41,212,1
9,45,214,1
10,46,215,1
10,43,213,1
9,41,212,1
8,38,210,1
8,33,209,1
7,31,207,1
10,28,203,1
9,24,206,1
11,20,212,1
18,21,204,1
17,24,199,1
12,28,197,1
13,33,196,1
13,41,200,1
13,43,201,1
13,48,203,1
14,50,203,1
14,50,205,1
14,50,205,1
14,50,206,1
16,48,203,1
13,47,205,1
12,45,205,1
10,45,206,1
10,44,207,1
11,45,209,1
11,45,208,1
11,46,207,1
11,46,207,1
11,46,207,1
11,46,207,1
11,46,206,1
11,46,206,1
11,45,208,1
11,45,208,1
11,46,207,1
11,45,208,1
11,45,208,1
11,45,208,1
11,46,207,1
11,46,206,1
11,46,205,1
11,46,204,1
11,46,204,1
11,46,204,1
11,46,205,1
11,46,206,1
11,46,207,1
11,46,207,1
11,45,208,1
11,45,210,1
11,45,212,1
11,44,213,1
11,44,213,1
11,45,212,1
11,45,212,1
11,45,212,1
10,44,211,1
10,44,210,1
10,44,210,1
10,44,209,1
10,44,209,1
10,44,209,1
10,44,208,1
10,44,207,1
10,44,209,1
10,44,210,1
10,44,211,1
10,44,210,1
10,44,208,1
10,45,206,1
10,44,207,1
10,44,208,1
10,44,209,1
10,44,210,1
10,44,211,1
10,44,211,1
10,44,209,1
10,44,209,1
10,44,209,1
10,44,210,1
10,44,210,1
10,43,212,1
10,43,214,1
10,43,214,1
10,43,214,1
10,43,215,1
10,43,214,1
10,43,212,1
10,47,211,1
10,47,211,1
10,44,210,1
11,42,211,1
10,40,211,1
10,40,210,1
10,40,210,1
11,42,211,1
11,44,214,1
10,46,217,1
11,44,214,1
11,42,211,1
10,40,211,1
11,34,209,1
10,31,209,1
10,27,206,1
11,26,208,1
14,23,214,1
17,24,205,1
17,24,199,1
15,31,197,1
13,37,198,1
13,43,201,1
13,48,203,1
13,51,204,1
15,54,204,1
15,53,206,1
15,52,205,1
15,52,206,1
14,50,206,1
12,48,206,1
12,48,206,1
10,48,208,1
10,48,209,1
11,45,209,1
11,45,208,1
11,46,207,1
11,46,207,1
11,46,206,1
11,46,207,1
11,46,207,1
11,45,208,1
11,45,209,1
11,45,209,1
11,45,209,1
11,45,209,1
11,45,209,1
11,45,208,1
11,46,207,1
11,46,205,1
12,45,204,1
12,45,205,1
12,45,205,1
12,45,205,1
12,45,205,1
12,45,205,1
12,45,206,1
12,45,206,1
12,44,207,1
12,44,209,1
12,44,210,1
12,44,211,1
12,44,211,1
12,44,210,1
12,44,210,1
11,45,211,1
10,44,211,1
9,45,213,1
9,45,213,1
9,46,211,1
9,46,210,1
9,46,209,1
9,46,209,1
9,46,210,1
9,46,210,1
9,46,211,1
9,46,211,1
9,46,211,1
9,46,211,1
9,46,210,1
9,46,211,1
10,44,209,1
10,44,209,1
11,43,209,1
11,43,210,1
11,43,210,1
11,43,209,1
11,43,209,1
11,43,209,1
11,43,209,1
11,43,209,1
11,42,211,1
11,42,213,1
11,42,212,1
11,42,212,1
11,42,213,1
11,42,213,1
10,43,213,1
10,46,215,1
11,49,214,1
11,44,213,1
12,43,213,1
11,42,212,1
13,40,208,1
11,43,210,1
12,44,211,1
11,44,213,1
12,46,214,1
12,47,213,1
12,44,210,1
10,40,210,1
11,34,209,1
10,31,209,1
12,28,206,1
12,27,209,1
15,24,214,1
17,24,205,1
17,24,199,1
15,31,197,1
13,37,198,1
13,43,201,1
13,48,203,1
13,51,204,1
15,53,205,1
15,53,206,1
15,53,207,1
15,52,206,1
14,50,206,1
12,48,206,1
12,48,206,1
11,46,206,1
11,46,207,1
11,45,208,1
11,45,208,1
11,45,208,1
11,46,207,1
11,46,206,1
11,46,207,1
11,45,209,1
11,45,210,1
11,45,210,1
11,45,210,1
11,45,210,1
11,45,211,1
11,45,210,1
11,45,209,1
11,46,207,1
11,46,205,1
12,45,205,1
12,45,205,1
12,45,206,1
12,45,205,1
12,45,205,1
12,45,205,1
12,45,205,1
12,45,206,1
12,44,207,1
12,44,208,1
12,44,209,1
12,44,210,1
12,44,209,1
12,44,209,1
12,44,209,1
11,45,210,1
10,44,211,1
9,45,213,1
9,45,213,1
9,46,211,1
9,46,209,1
9,47,208,1
9,46,210,1
9,46,211,1
9,46,210,1
9,46,210,1
9,46,210,1
9,46,211,1
9,46,211,1
9,46,212,1
9,45,213,1
10,43,212,1
10,44,209,1
11,43,208,1
11,43,209,1
11,43,209,1
11,43,210,1
11,43,210,1
11,43,209,1
11,43,209,1
11,43,209,1
11,42,211,1
11,42,213,1
11,42,212,1
11,42,212,1
11,42,213,1
11,42,213,1
11,42,212,1
11,44,215,1
11,44,215,1
11,44,215,1
12,43,214,1
11,42,213,1
11,43,210,1
12,44,209,1
12,44,210,1
11,45,211,1
12,47,212,1
11,45,210,1
12,44,207,1
13,41,205,1
12,37,207,1
11,33,207,1
12,29,205,1
12,27,208,1
15,24,213,1
18,21,203,1
17,25,197,1
15,31,196,1
14,35,198,1
13,41,204,1
12,45,204,1
13,51,204,1
13,51,205,1
13,51,205,1
13,51,205,1
14,50,204,1
14,50,204,1
13,48,204,1
12,45,204,1
11,44,205,1
11,43,206,1
12,44,208,1
12,44,209,1
12,44,209,1
12,45,206,1
12,45,205,1
12,45,206,1
11,46,207,1
11,46,207,1
11,45,208,1
11,45,209,1
11,45,209,1
11,45,209,1
11,45,208,1
11,46,207,1
11,46,207,1
11,46,207,1
10,44,207,1
10,45,206,1
10,45,205,1
10,45,205,1
10,45,206,1
10,44,207,1
10,44,207,1
10,44,208,1
10,44,209,1
10,44,208,1
10,44,209,1
10,44,210,1
10,44,209,1
10,44,207,1
10,45,205,1
10,45,206,1
10,44,209,1
10,44,210,1
10,44,210,1
10,44,210,1
10,44,210,1
10,44,210,1
10,43,212,1
10,43,214,1
10,43,212,1
10,44,211,1
10,44,210,1
10,44,211,1
10,43,212,1
10,43,213,1
10,43,213,1
10,43,213,1
10,44,210,1
10,44,210,1
10,44,209,1
10,44,209,1
9,41,210,1
9,41,211,1
9,41,212,1
9,41,212,1
9,41,211,1
9,41,212,1
10,40,213,1
10,40,213,1
11,42,211,1
11,42,211,1
11,42,212,1
11,42,213,1
11,42,214,1
10,43,214,1
10,43,212,1
10,44,209,1
10,44,210,1
10,44,211,1
11,45,211,1
11,45,209,1
11,45,210,1
11,45,210,1
11,43,207,1
11,44,205,1
11,39,205,1
11,38,209,1
11,34,209,1
10,31,207,1
11,26,208,1
14,23,214,1
18,21,203,1
17,25,197,1
15,26,194,1
14,35,198,1
11,39,204,1
12,45,204,1
12,49,204,1
13,51,205,1
13,51,206,1
13,51,206,1
14,50,205,1
14,50,205,1
12,45,204,1
