h,s,v,value
13,67,206,0.5
13,67,207,0.5
13,62,207,0.5
13,60,208,0.5
13,48,220,0.5
15,53,207,0.5
13,61,202,0.5
14,66,201,0.5
13,71,205,0.5
13,74,210,0.5
13,74,213,0.5
13,77,210,0.5
13,76,209,0.5
13,75,208,0.5
13,72,209,0.5
13,70,207,0.5
13,70,208,0.5
13,71,211,0.5
13,71,211,0.5
13,73,212,0.5
13,70,214,0.5
13,70,209,0.5
13,72,209,0.5
13,75,207,0.5
13,75,207,0.5
13,75,208,0.5
13,75,208,0.5
14,76,208,0.5
14,76,207,0.5
14,75,211,0.5
13,76,211,0.5
14,77,206,0.5
13,77,209,0.5
15,77,213,0.5
14,77,215,0.5
15,78,210,0.5
15,79,207,0.5
15,77,205,0.5
15,79,207,0.5
15,77,205,0.5
15,79,207,0.5
15,74,206,0.5
14,76,209,0.5
14,76,209,0.5
14,76,208,0.5
13,75,208,0.5
13,75,208,0.5
13,75,208,0.5
13,75,208,0.5
13,74,209,0.5
13,74,209,0.5
13,74,210,0.5
13,75,208,0.5
15,74,206,0.5
15,75,205,0.5
15,75,205,0.5
15,75,205,0.5
15,75,205,0.5
15,74,206,0.5
15,74,207,0.5
15,74,207,0.5
15,74,207,0.5
15,74,207,0.5
15,74,207,0.5
15,74,207,0.5
15,74,207,0.5
15,74,208,0.5
15,74,208,0.5
14,76,209,0.5
14,75,210,0.5
14,75,211,0.5
14,75,210,0.5
15,74,208,0.5
15,74,208,0.5
15,74,208,0.5
15,74,208,0.5
15,73,209,0.5
15,74,208,0.5
15,73,205,0.5
15,74,203,0.5
15,74,203,0.5
15,74,204,0.5
15,73,205,0.5
15,73,206,0.5
14,74,203,0.5
14,74,204,0.5
14,74,204,0.5
14,73,205,0.5
14,73,205,0.5
14,73,205,0.5
14,74,204,0.5
14,74,204,0.5
14,70,204,0.5
13,67,206,0.5
13,62,207,0.5
13,61,209,0.5
14,47,218,0.5
15,52,206,0.5
14,60,201,0.5
14,66,202,0.5
13,71,205,0.5
13,74,209,0.5
14,76,209,0.5
14,77,205,0.5
13,75,207,0.5
14,73,205,0.5
13,71,206,0.5
13,71,206,0.5
13,70,207,0.5
14,73,207,0.5
13,74,210,0.5
14,72,209,0.5
13,69,210,0.5
13,70,209,0.5
13,70,207,0.5
13,71,206,0.5
14,73,207,0.5
14,73,207,0.5
13,75,208,0.5
13,75,208,0.5
13,75,207,0.5
14,75,210,0.5
14,75,210,0.5
14,76,207,0.5
14,76,208,0.5
14,75,211,0.5
14,75,212,0.5
15,76,208,0.5
15,74,207,0.5
15,77,206,0.5
15,74,206,0.5
15,75,205,0.5
15,75,205,0.5
15,75,204,0.5
15,75,204,0.5
14,74,204,0.5
14,73,206,0.5
14,73,206,0.5
13,75,208,0.5
13,74,209,0.5
13,74,209,0.5
13,74,209,0.5
13,72,210,0.5
13,70,208,0.5
14,73,207,0.5
15,74,206,0.5
15,74,206,0.5
15,74,206,0.5
15,74,206,0.5
15,74,206,0.5
15,74,206,0.5
15,74,207,0.5
15,75,205,0.5
15,75,205,0.5
15,75,205,0.5
15,75,205,0.5
15,75,205,0.5
15,75,205,0.5
15,74,206,0.5
15,74,206,0.5
14,76,208,0.5
14,76,209,0.5
14,75,210,0.5
14,75,210,0.5
15,74,208,0.5
15,74,208,0.5
15,73,209,0.5
15,73,209,0.5
15,73,209,0.5
15,74,207,0.5
15,74,204,0.5
15,74,203,0.5
15,74,202,0.5
15,74,202,0.5
15,74,204,0.5
15,74,204,0.5
14,74,204,0.5
14,74,204,0.5
14,73,205,0.5
14,73,205,0.5
14,73,205,0.5
14,73,205,0.5
14,73,205,0.5
14,74,204,0.5
14,70,204,0.5
14,69,206,0.5
14,64,207,0.5
14,63,209,0.5
14,43,215,0.5
14,50,205,0.5
13,57,201,0.5
14,62,202,0.5
14,70,205,0.5
14,73,207,0.5
14,76,208,0.5
14,78,203,0.5
